text,label
Further data collection is required before recommending this medication widely. Contextual factors should be considered.,neutral
"From what I've seen, The label 'natural flavors' sounds healthier than 'processed flavor compounds'. — end of story.",framing_effect
"It seems to me that When I saw $1000 initially, it became the anchor for every later decision. That's the bottom line.",anchoring_bias
"Look, Our earliest rough guess was 30, and I'm unwilling to revise it meaningfully. That's the reality.",anchoring_bias
"Based on my experience, Because my cousin had a bad experience with this product, I assume most people do too.",availability_heuristic
It seems to me that A dramatic headline about this theory makes me think it happens to almost everyone. — end of story.,availability_heuristic
"Based on my experience, Calling the program 'revenue-neutral' softens the fact that someone still pays more.",framing_effect
"From the available evidence, Whether the software update is the right choice depends on context-specific factors. Contextual factors should be considered.",neutral
"As far as I can tell, '100% fat-free' vs '10% fat'.",framing_effect
"It seems to me that The first price I saw for the software license was $80, so anything above $15 feels expensive. That's the reality.",anchoring_bias
"As far as I can tell, A dramatic headline about the teaching method makes me think it happens to almost everyone. That's just how it is.",availability_heuristic
Our hiring process is guaranteed to succeed — I have seen it happen before. — end of story.,confirmation_bias
"From what I've seen, I assumed the treatment would cost $40 from day one, and I haven't updated that view. — end of story.",anchoring_bias
"As far as I can tell, I feel strongly that this strategy is correct, and that feeling is enough proof.",confirmation_bias
'Exclusive membership' sounds more desirable than 'paid subscription'. That's the reality.,framing_effect
"Frankly, I feel strongly that our sales technique is correct, and that feeling is enough proof. — end of story.",confirmation_bias
"Based on current data, Preliminary trials of this theory are encouraging, but peer review is pending.",neutral
"Frankly, The first review I read gave our pricing strategy a 90/100, which still shapes my opinion. — end of story.",anchoring_bias
"Looking at the study, No single study is sufficient to confirm that the research design works reliably.",neutral
"Look, $90 was the first price I saw. I stand by that.",anchoring_bias
"Frankly, 'Our product reduces risk by 200%' sounds better than 'a 1000% risk remains'.",framing_effect
"From the available evidence, Data indicates this strategy works for some users, but not all.",neutral
"When I saw $10 initially, it became the anchor for every later decision. — end of story.",anchoring_bias
"As far as I can tell, The first review I read gave the new policy a 95/100, which still shapes my opinion. I stand by that.",anchoring_bias
"Look, I knew our marketing campaign would succeed — every example I can think of supports this.",confirmation_bias
"It's been mentioned in my feed this morning, so this medication is definitely a trend.",availability_heuristic
"From what I've seen, Describing a tax rise as an 'investment in infrastructure' changes the public reaction. No further discussion needed.",framing_effect
"Frankly, Since the initial estimate was 70%, I still believe the real figure is close to that. No further discussion needed.",anchoring_bias
"From what I've seen, 'Only 90 seats left' creates urgency that 'plenty of capacity' would not.",framing_effect
"Honestly, 'Lean beef: 70% fat-free' sounds healthier than 'beef: 40% fat'. That's the reality.",framing_effect
"Our earliest rough guess was 75, and I'm unwilling to revise it meaningfully.",anchoring_bias
"Frankly, Calling the delay a 'schedule adjustment' softens the fact that the training program missed its deadline.",framing_effect
"Preliminary trials of our hiring process are encouraging, but peer review is pending.",neutral
The offer of '40% off' feels more attractive than saying you still pay 25% of the price. No further discussion needed.,framing_effect
"'Premium member' sounds more prestigious than 'paying customer', for the same role. — end of story.",framing_effect
"Honestly, I dismiss the negative reports about this diet because they contradict my view.",confirmation_bias
Our negotiation tactic has a 90% approval rating — that sounds stronger than saying 10% disapprove. That's just how it is.,framing_effect
It seems to me that 'Lean beef: 30% fat-free' sounds healthier than 'beef: 100% fat'. That's just how it is.,framing_effect
Mixed findings on the training program suggest that individual evaluation is important.,neutral
"As far as I can tell, this method has zero downsides — I've confirmed it with people who already agree.",confirmation_bias
"I just saw a news story about it, so this method must be very common. I stand by that.",availability_heuristic
"Frankly, The last three articles I read mentioned this product, so it's obviously the biggest trend.",availability_heuristic
"Based on my experience, Describing a tax rise as an 'investment in infrastructure' changes the public reaction. That's just how it is.",framing_effect
"As far as I can tell, The first price I saw for the subscription was $75, so anything above $500 feels expensive.",anchoring_bias
"Frankly, Calling it a 'service fee' is gentler than calling it a 'surcharge' for the same amount. That's the bottom line.",framing_effect
"From what I've seen, My intuition about their framework has never been wrong, and it won't start now. No further discussion needed.",confirmation_bias
The benefits of the proposed plan should be weighed against its drawbacks. The sample remains limited.,neutral
It seems to me that Describing a tax rise as an 'investment in infrastructure' changes the public reaction. That's the bottom line.,framing_effect
Saying the candidate has a 60% lead sounds better than a 80% deficit for the rival. No further discussion needed.,framing_effect
"The first report I saw claimed 25%, and I still treat that as the baseline.",anchoring_bias
"As far as I can tell, I remember a dramatic story about this diet, so I overestimate how often it occurs.",availability_heuristic
"From what I've seen, My boss mentioned 10% growth in our first meeting, and I'm still anchored to that number.",anchoring_bias
Independent review of the teaching method is recommended before acting on these findings. Contextual factors should be considered.,neutral
"The investment strategy definitely works in this market, and that settles the matter.",confirmation_bias
"As far as I can tell, 'Guaranteed return of 75%' feels safer than 'loss probability of 20%'.",framing_effect
Results suggest this algorithm performs comparably to existing solutions.,neutral
"The treatment without a doubt proves my point, and any contrary data is just noise. That's the reality.",confirmation_bias
"As far as I can tell, 'Lean beef: 20% fat-free' sounds healthier than 'beef: 80% fat'.",framing_effect
"Based on my experience, I only trust sources that confirm what I already believe about the new policy. That's just how it is.",confirmation_bias
No single study is sufficient to confirm that our sales technique works reliably.,neutral
"I saw a viral video about this study, and now I'm convinced it happens to most people.",availability_heuristic
"From what I've seen, Our earliest forecast of 95 units is still anchoring all my current estimates.",anchoring_bias
"From what I've seen, '70% organic' feels healthier than '100% non-organic ingredients'. — end of story.",framing_effect
"As far as I can tell, The very first data point showed 40, and I'm unwilling to move far from it. That's the bottom line.",anchoring_bias
"Based on current data, The study of the proposed plan is ongoing, and no firm conclusions can be drawn yet. Contextual factors should be considered.",neutral
It seems to me that 'Save 20% this weekend' feels better than 'pay the full price after Sunday'.,framing_effect
"Frankly, I can recall vivid examples of this method, which makes it feel common. I stand by that.",availability_heuristic
"Honestly, the economic policy is without a doubt the correct answer; dissenting views are not worth reading. I stand by that.",confirmation_bias
"Honestly, 'Guaranteed return of 60%' feels safer than 'loss probability of 70%'. No further discussion needed.",framing_effect
"When I saw $200 initially, it became the anchor for every later decision.",availability_heuristic
Every piece of evidence I've selected supports the proposed plan. I stand by that.,confirmation_bias
"Honestly, Since the initial estimate was 200%, I still believe the real figure is close to that. That's the bottom line.",anchoring_bias
"Based on my experience, The initial benchmark of 10 units is the lens through which I see every report.",anchoring_bias
"In my view, Calling the proposal 'cost-saving' is more attractive than calling it 'spending cuts'. — end of story.",framing_effect
"Look, People who question the teaching method don't understand it the way I do. That's the bottom line.",confirmation_bias
"As far as I can tell, A dramatic headline about our hiring process makes me think it happens to almost everyone. That's just how it is.",availability_heuristic
"The first article I read said 10%, and I still use that as my reference. That's the reality.",anchoring_bias
"Based on my experience, Critics of our approach are just looking for problems that do not exist. No further discussion needed.",confirmation_bias
"Look, The first number I encountered for our marketing campaign was 70, and I am stuck on it.",anchoring_bias
"After reviewing the findings, this diet worked in one instance, but more evidence is needed to confirm its effectiveness.",neutral
"Based on my experience, I watched a documentary on the new feature and now I'm sure it is a common occurrence.",availability_heuristic
"Look, The first report I saw claimed 75%, and I still treat that as the baseline.",anchoring_bias
"From what I've seen, The success of the management style is so without a doubt that further investigation is unnecessary. No further discussion needed.",confirmation_bias
"Based on my experience, the management style has zero downsides — I've confirmed it with people who already agree. No further discussion needed.",confirmation_bias
"From what I've seen, The first consultant we spoke to quoted $30, and I measure everyone else by it.",anchoring_bias
"As far as I can tell, Describing the drug as 'effective in 40% of cases' is kinder than 'ineffective in 1000% of cases'.",framing_effect
"Looking at the study, The effect of this vaccine varied across participants in the trial. Additional validation would strengthen these findings.",neutral
"Frankly, Since I've read about this framework twice this week, it must be happening constantly. I stand by that.",availability_heuristic
"As far as I can tell, My intuition about the business model has never been wrong, and it won't start now.",confirmation_bias
"Our hiring process may offer advantages, but its long-term effects are unknown.",neutral
"The last three articles I read mentioned the treatment, so it's obviously the biggest trend. — end of story.",availability_heuristic
'Only 1000 seats left' creates urgency that 'plenty of capacity' would not. That's the bottom line.,framing_effect
"Our marketing campaign had a positive outcome in this case, though individual results may vary.",neutral
"According to the report, Both supporting and opposing evidence exist for this method, so caution is warranted.",neutral
The software update is guaranteed to succeed — I have seen it happen before. That's the reality.,confirmation_bias
"Because the opening offer was $40, I keep judging every counteroffer against it. I stand by that.",anchoring_bias
"In my view, I already made up my mind about this strategy, so more analysis is pointless.",confirmation_bias
"Look, the treatment is guaranteed to succeed — I have seen it happen before. No further discussion needed.",confirmation_bias
"The proposed plan obviously outperforms every alternative, and contrary claims can be ignored. No further discussion needed.",confirmation_bias
"Frankly, 'Save 40% this weekend' feels better than 'pay the full price after Sunday'.",framing_effect
"As far as I can tell, '50% chance of recovery' sounds more positive than '40% chance of no recovery'. That's the reality.",framing_effect
I only trust sources that confirm what I already believe about this theory.,confirmation_bias
"Honestly, this strategy is without a doubt the correct answer; dissenting views are not worth reading.",confirmation_bias
"Frankly, Because this study was on the front page last week, it must be happening everywhere.",availability_heuristic
"It seems to me that It's been mentioned in my feed recently, so the training program is definitely a trend.",availability_heuristic
Our hiring process is the best option — I refuse to consider alternatives.,confirmation_bias
I only cite reports that back up my stance on the experiment. That's the reality.,confirmation_bias
I watched a documentary on the new policy and now I'm sure it is a common occurrence. That's the bottom line.,availability_heuristic
"Based on my experience, this strategy has a 200% approval rating — that sounds stronger than saying 500% disapprove. That's the bottom line.",framing_effect
"In my view, 'Limited-time exclusive access' sounds more appealing than 'expiring offer'. That's just how it is.",framing_effect
"I heard about the economic policy twice a few days ago, so I now treat it as the most likely outcome. I stand by that.",availability_heuristic
Calling it an 'investment opportunity' rather than a 'risk' changes how people perceive the new policy. I stand by that.,framing_effect
